"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1274","f","false","180","0","or","null","incongruent"
"1638","j","true","0","0","mov","switch","congruent"
"1678","j","false","0","180","or","switch","incongruent"
"170","j","true","180","0","or","repetition","incongruent"
"1204","f","false","0","0","or","repetition","congruent"
"124","f","true","0","180","or","repetition","incongruent"
"528","f","true","180","180","mov","switch","congruent"
"354","j","true","0","0","or","switch","congruent"
"1007","f","true","0","180","or","repetition","incongruent"
"-1","","false","0","180","or","repetition","incongruent"
"796","f","false","180","0","or","repetition","incongruent"
"852","j","false","0","180","or","repetition","incongruent"
"623","f","false","180","0","or","repetition","incongruent"
"459","f","true","180","0","mov","switch","incongruent"
"912","j","false","0","180","or","switch","incongruent"
"807","f","false","0","180","mov","switch","incongruent"
"1047","f","false","0","0","or","switch","congruent"
"655","j","true","180","0","or","repetition","incongruent"
"623","f","true","0","180","or","repetition","incongruent"
"1026","j","false","180","180","or","repetition","congruent"
"1476","f","true","180","0","mov","switch","incongruent"
"962","f","true","180","180","or","switch","congruent"
"929","j","false","0","180","or","repetition","incongruent"
"1071","f","true","180","180","mov","switch","congruent"
"834","j","true","0","180","mov","repetition","incongruent"
"1670","f","false","0","180","mov","repetition","incongruent"
"1349","j","true","0","0","mov","repetition","congruent"
"1299","f","false","0","180","mov","repetition","incongruent"
"850","f","true","180","180","mov","repetition","congruent"
"713","j","true","0","0","mov","repetition","congruent"
"1023","j","true","0","180","mov","repetition","incongruent"
"1067","j","true","0","0","mov","repetition","congruent"
"761","j","true","0","0","or","switch","congruent"
"983","f","false","180","0","or","repetition","incongruent"
"911","j","true","0","180","mov","switch","incongruent"
"878","f","true","180","180","mov","repetition","congruent"
"939","j","false","180","0","mov","repetition","incongruent"
"808","f","false","180","0","or","switch","incongruent"
"964","f","false","180","0","or","repetition","incongruent"
"658","j","true","0","0","mov","switch","congruent"
"833","j","true","0","0","or","switch","congruent"
"900","f","true","180","0","mov","switch","incongruent"
"942","j","true","0","0","mov","repetition","congruent"
"526","f","true","180","180","or","switch","congruent"
"954","f","true","180","180","mov","switch","congruent"
"992","j","false","0","180","or","switch","incongruent"
"1304","f","true","180","180","or","repetition","congruent"
"507","f","true","180","180","mov","switch","congruent"
"1060","j","false","180","180","or","switch","congruent"
"-1","","false","180","0","mov","switch","incongruent"
"1263","j","true","0","0","mov","repetition","congruent"
"890","j","true","0","0","mov","repetition","congruent"
"407","f","false","180","0","or","switch","incongruent"
"672","j","true","0","0","mov","switch","congruent"
"1219","j","true","0","0","mov","repetition","congruent"
"951","j","false","0","180","or","switch","incongruent"
"772","j","true","0","180","mov","switch","incongruent"
"746","j","false","0","180","or","switch","incongruent"
"886","f","true","180","180","or","repetition","congruent"
"826","f","true","180","180","or","repetition","congruent"
"959","f","true","180","0","mov","switch","incongruent"
"615","j","true","0","0","or","switch","congruent"
"1133","j","true","180","0","or","repetition","incongruent"
"1202","j","true","0","180","mov","switch","incongruent"
"1272","f","true","180","180","or","switch","congruent"
"1390","j","true","180","0","or","repetition","incongruent"
"1176","j","false","180","180","mov","switch","congruent"
"594","f","true","180","180","or","switch","congruent"
"1088","f","true","180","180","mov","switch","congruent"
"1088","j","false","180","0","mov","repetition","incongruent"
"1081","f","false","0","180","mov","repetition","incongruent"
"774","j","true","0","0","mov","repetition","congruent"
"628","j","true","0","0","or","switch","congruent"
"767","f","true","180","180","or","repetition","congruent"
"703","j","true","0","0","or","repetition","congruent"
"760","f","true","180","180","or","repetition","congruent"
"906","f","true","180","180","mov","switch","congruent"
"714","j","true","0","0","or","switch","congruent"
"750","j","true","0","0","or","repetition","congruent"
"1057","f","false","0","0","or","repetition","congruent"
"1107","f","true","180","180","mov","switch","congruent"
"653","j","true","0","180","mov","repetition","incongruent"
"1083","f","true","180","0","mov","repetition","incongruent"
"1424","f","true","180","0","mov","repetition","incongruent"
"1074","f","false","180","0","or","switch","incongruent"
"1348","f","true","180","180","mov","switch","congruent"
"860","j","true","0","0","or","switch","congruent"
"1235","f","true","180","0","mov","switch","incongruent"
"824","j","false","0","180","or","switch","incongruent"
"808","f","true","180","180","mov","switch","congruent"
"827","f","true","180","0","mov","repetition","incongruent"
"1289","j","true","0","180","mov","repetition","incongruent"
"994","f","true","180","0","mov","repetition","incongruent"
"1976","j","true","0","180","mov","repetition","incongruent"
"725","f","true","180","180","or","switch","congruent"
"1114","j","true","0","0","mov","switch","congruent"
