"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"-1","","false","180","0","or","null","incongruent"
"1524","j","true","0","0","or","repetition","congruent"
"1282","f","true","180","0","mov","switch","incongruent"
"1974","f","true","0","180","or","switch","incongruent"
"1239","j","true","0","0","mov","switch","congruent"
"-1","","false","180","180","or","switch","congruent"
"1764","f","true","0","180","or","repetition","incongruent"
"1238","f","true","180","0","mov","switch","incongruent"
"1596","f","true","180","180","mov","repetition","congruent"
"671","f","true","180","180","mov","repetition","congruent"
"580","f","true","180","0","mov","repetition","incongruent"
"575","f","true","180","0","mov","repetition","incongruent"
"1662","f","true","180","180","or","switch","congruent"
"1897","f","false","0","180","mov","switch","incongruent"
"839","f","true","180","0","mov","repetition","incongruent"
"1077","f","true","0","180","or","switch","incongruent"
"990","j","true","0","0","or","repetition","congruent"
"1493","j","true","0","0","or","repetition","congruent"
"1522","f","true","180","180","or","repetition","congruent"
"749","f","true","180","0","mov","switch","incongruent"
"511","j","true","0","180","mov","repetition","incongruent"
"615","j","true","0","180","mov","repetition","incongruent"
"679","j","true","0","180","mov","repetition","incongruent"
"1564","j","true","0","0","or","switch","congruent"
"704","j","true","0","0","mov","switch","congruent"
"1511","j","true","0","0","or","switch","congruent"
"1153","j","true","0","180","mov","switch","incongruent"
"509","f","true","180","180","mov","repetition","congruent"
"447","j","true","0","180","mov","repetition","incongruent"
"462","f","true","180","0","mov","repetition","incongruent"
"1374","j","true","180","0","or","switch","incongruent"
"1010","j","true","180","0","or","repetition","incongruent"
"1448","f","true","180","180","mov","switch","congruent"
"879","j","true","180","0","or","switch","incongruent"
"745","f","true","180","180","or","repetition","congruent"
"680","j","true","0","0","mov","switch","congruent"
"1244","f","true","0","180","or","switch","incongruent"
"633","j","true","0","0","mov","switch","congruent"
"925","f","true","0","180","or","switch","incongruent"
"1246","j","true","0","0","or","repetition","congruent"
"734","j","true","0","0","mov","switch","congruent"
"1225","j","true","0","0","or","switch","congruent"
"892","f","true","0","180","or","repetition","incongruent"
"1365","f","true","180","180","or","repetition","congruent"
"1093","j","true","180","0","or","repetition","incongruent"
"915","j","true","0","180","mov","switch","incongruent"
"660","j","true","0","0","mov","repetition","congruent"
"1691","f","true","180","180","or","switch","congruent"
"740","j","true","0","0","or","repetition","congruent"
"1184","j","true","180","0","or","repetition","incongruent"
"845","f","true","180","0","mov","switch","incongruent"
"1609","j","true","0","0","or","switch","congruent"
"835","f","true","180","0","mov","switch","incongruent"
"584","j","true","0","180","mov","repetition","incongruent"
"859","f","true","180","180","or","switch","congruent"
"849","f","true","0","180","or","repetition","incongruent"
"960","f","true","180","180","or","repetition","congruent"
"652","j","true","0","180","mov","switch","incongruent"
"496","f","true","180","180","mov","repetition","congruent"
"664","f","true","0","180","or","switch","incongruent"
"561","j","true","0","0","mov","switch","congruent"
"508","j","true","0","180","mov","repetition","incongruent"
"460","f","true","180","180","mov","repetition","congruent"
"502","f","true","180","180","mov","repetition","congruent"
"945","j","true","180","0","or","switch","incongruent"
"859","f","true","0","180","or","repetition","incongruent"
"794","j","true","180","0","or","repetition","incongruent"
"726","f","true","0","180","or","repetition","incongruent"
"700","f","true","180","180","mov","switch","congruent"
"564","j","true","0","0","mov","repetition","congruent"
"448","f","true","180","180","mov","repetition","congruent"
"538","j","true","0","0","mov","repetition","congruent"
"1332","j","true","0","0","or","switch","congruent"
"499","f","true","180","180","mov","switch","congruent"
"482","f","true","180","180","mov","repetition","congruent"
"786","j","false","180","0","mov","repetition","incongruent"
"1057","j","true","180","0","or","switch","incongruent"
"862","j","true","0","0","or","repetition","congruent"
"1007","f","true","180","180","mov","switch","congruent"
"729","j","true","0","0","or","switch","congruent"
"530","f","true","180","180","or","repetition","congruent"
"824","f","true","0","180","or","repetition","incongruent"
"666","f","true","180","0","mov","switch","incongruent"
"952","f","true","180","180","or","switch","congruent"
"808","j","true","0","0","mov","switch","congruent"
"1358","f","true","0","180","or","switch","incongruent"
"795","f","true","180","180","or","repetition","congruent"
"563","j","true","0","0","mov","switch","congruent"
"682","j","false","180","0","mov","repetition","incongruent"
"754","j","true","0","0","mov","repetition","congruent"
"1502","j","true","180","0","or","switch","incongruent"
"1028","j","true","180","0","or","repetition","incongruent"
"1390","j","false","180","180","or","repetition","congruent"
"732","j","true","0","180","mov","switch","incongruent"
"775","f","false","180","0","or","switch","incongruent"
"950","j","true","0","180","mov","switch","incongruent"
