"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"1616","f","true","180","180","mov","null","congruent"
"1580","j","true","0","0","or","switch","congruent"
"1331","j","true","0","0","or","repetition","congruent"
"1137","f","true","180","180","mov","switch","congruent"
"1297","j","true","0","0","or","switch","congruent"
"1489","f","true","180","180","or","repetition","congruent"
"1478","f","false","180","0","or","repetition","incongruent"
"1927","f","true","180","0","mov","switch","incongruent"
"1296","f","true","180","180","mov","repetition","congruent"
"1572","j","true","0","0","mov","repetition","congruent"
"1809","j","false","0","180","or","switch","incongruent"
"1409","j","true","0","0","or","repetition","congruent"
"1043","f","true","180","0","mov","switch","incongruent"
"1556","j","false","0","180","or","switch","incongruent"
"1661","f","false","180","0","or","repetition","incongruent"
"1564","f","true","180","0","mov","switch","incongruent"
"1447","j","true","180","0","or","switch","incongruent"
"1033","f","true","0","180","or","repetition","incongruent"
"1394","f","true","180","180","or","repetition","congruent"
"933","j","true","0","180","mov","switch","incongruent"
"1010","j","true","0","180","mov","repetition","incongruent"
"1505","j","true","180","0","or","switch","incongruent"
"1346","f","true","180","0","mov","switch","incongruent"
"1434","j","true","180","0","or","switch","incongruent"
"1392","j","true","180","0","or","repetition","incongruent"
"1346","f","true","180","180","or","repetition","congruent"
"914","j","true","0","180","mov","switch","incongruent"
"1105","f","true","0","180","or","switch","incongruent"
"1658","j","false","0","180","or","repetition","incongruent"
"1054","j","true","0","180","mov","switch","incongruent"
"757","j","true","0","0","mov","repetition","congruent"
"1231","f","true","180","180","or","switch","congruent"
"1172","f","true","180","180","mov","switch","congruent"
"1211","f","true","0","180","or","switch","incongruent"
"1217","j","true","0","0","mov","switch","congruent"
"937","j","true","0","180","mov","repetition","incongruent"
"1105","j","true","0","0","mov","repetition","congruent"
"1150","j","true","0","0","or","switch","congruent"
"1381","f","false","180","0","or","repetition","incongruent"
"1263","j","true","0","180","mov","switch","incongruent"
"1309","j","true","0","0","mov","repetition","congruent"
"1316","j","true","0","0","mov","repetition","congruent"
"1082","f","true","0","180","or","switch","incongruent"
"1132","f","true","180","0","mov","switch","incongruent"
"926","j","true","0","180","mov","repetition","incongruent"
"732","j","true","0","0","mov","repetition","congruent"
"1299","j","true","0","0","or","switch","congruent"
"-1","","false","0","0","or","repetition","congruent"
"-1","","false","180","0","or","repetition","incongruent"
"1139","j","true","0","0","mov","switch","congruent"
"1426","f","true","180","180","or","switch","congruent"
"1352","j","true","0","0","mov","switch","congruent"
"814","f","true","180","0","mov","repetition","incongruent"
"826","j","true","0","0","mov","repetition","congruent"
"1140","j","true","0","180","mov","repetition","incongruent"
"894","f","true","180","180","mov","repetition","congruent"
"845","f","true","0","180","or","switch","incongruent"
"1087","f","true","180","0","mov","switch","incongruent"
"1466","j","true","0","0","or","switch","congruent"
"1004","j","true","0","180","mov","switch","incongruent"
"1439","j","false","180","180","or","switch","congruent"
"1281","f","true","0","180","or","repetition","incongruent"
"1136","f","true","180","180","or","repetition","congruent"
"994","j","true","0","180","mov","switch","incongruent"
"1046","f","true","180","180","mov","repetition","congruent"
"1111","j","true","0","0","or","switch","congruent"
"1070","j","true","0","0","or","repetition","congruent"
"1087","f","true","180","180","or","repetition","congruent"
"1335","f","true","0","180","or","repetition","incongruent"
"1398","f","true","180","180","mov","switch","congruent"
"1176","f","true","180","180","or","switch","congruent"
"1628","j","true","180","0","or","repetition","incongruent"
"1536","f","true","180","180","or","repetition","congruent"
"1473","f","true","180","0","mov","switch","incongruent"
"1205","j","true","0","0","mov","repetition","congruent"
"1442","j","true","0","180","mov","repetition","incongruent"
"1100","f","true","180","0","mov","repetition","incongruent"
"1119","f","true","180","0","mov","repetition","incongruent"
"642","j","true","0","0","mov","repetition","congruent"
"1059","j","true","180","0","or","switch","incongruent"
"867","j","true","0","0","or","repetition","congruent"
"1009","f","true","180","0","mov","switch","incongruent"
"979","f","true","180","0","mov","repetition","incongruent"
"1533","f","true","180","180","or","switch","congruent"
"1214","j","true","180","0","or","repetition","incongruent"
"1536","f","true","0","180","or","repetition","incongruent"
"1205","f","true","180","180","mov","switch","congruent"
"1576","f","true","180","180","or","switch","congruent"
"772","j","true","0","180","mov","switch","incongruent"
"1533","j","false","180","180","mov","repetition","congruent"
"1898","f","true","180","180","mov","repetition","congruent"
"1415","f","true","0","180","or","switch","incongruent"
"1671","f","true","180","180","mov","switch","congruent"
"1165","f","true","180","180","mov","repetition","congruent"
"984","j","true","0","0","or","switch","congruent"
"1168","j","true","180","0","or","repetition","incongruent"
