"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency"
"657","f","true","180","180","or","null","congruent"
"750","f","true","180","0","mov","switch","incongruent"
"511","j","true","0","180","mov","repetition","incongruent"
"772","f","true","180","180","or","switch","congruent"
"648","j","true","0","0","or","repetition","congruent"
"714","j","true","0","180","mov","switch","incongruent"
"824","f","true","0","180","or","switch","incongruent"
"874","f","true","180","180","or","repetition","congruent"
"699","f","true","180","0","mov","switch","incongruent"
"695","j","true","0","0","or","switch","congruent"
"857","f","true","0","180","or","repetition","incongruent"
"656","f","true","180","180","mov","switch","congruent"
"744","f","true","180","180","mov","repetition","congruent"
"714","f","true","180","180","mov","repetition","congruent"
"746","j","true","0","0","or","switch","congruent"
"800","j","true","0","0","mov","switch","congruent"
"1163","j","true","0","0","or","switch","congruent"
"664","f","true","0","180","or","repetition","incongruent"
"661","f","true","180","180","mov","switch","congruent"
"445","j","true","0","0","mov","repetition","congruent"
"939","j","true","180","0","or","switch","incongruent"
"512","j","true","0","180","mov","switch","incongruent"
"636","j","true","0","0","mov","repetition","congruent"
"718","j","true","0","0","mov","repetition","congruent"
"688","j","true","0","0","mov","repetition","congruent"
"701","f","true","180","180","or","switch","congruent"
"697","j","true","0","0","or","repetition","congruent"
"604","f","true","180","0","mov","switch","incongruent"
"1154","j","false","0","180","or","switch","incongruent"
"590","f","true","0","180","or","repetition","incongruent"
"925","f","true","180","180","mov","switch","congruent"
"596","f","true","180","0","mov","repetition","incongruent"
"1075","j","true","180","0","or","switch","incongruent"
"741","j","true","0","0","or","repetition","congruent"
"674","j","true","0","0","or","repetition","congruent"
"571","f","true","180","180","or","repetition","congruent"
"796","f","true","180","180","or","repetition","congruent"
"789","j","true","0","0","or","repetition","congruent"
"654","f","true","180","0","mov","switch","incongruent"
"521","j","true","0","180","mov","repetition","incongruent"
"708","f","true","0","180","or","switch","incongruent"
"733","f","true","0","180","or","repetition","incongruent"
"635","j","true","180","0","or","repetition","incongruent"
"1027","f","true","0","180","or","repetition","incongruent"
"1621","j","true","0","0","or","repetition","congruent"
"594","j","true","0","0","mov","switch","congruent"
"1406","j","true","180","0","or","switch","incongruent"
"1152","j","true","180","0","or","repetition","incongruent"
"1320","j","true","0","0","or","repetition","congruent"
"963","f","true","180","0","mov","switch","incongruent"
"658","f","true","180","180","mov","repetition","congruent"
"746","f","true","180","180","mov","repetition","congruent"
"818","f","true","0","180","or","switch","incongruent"
"1119","f","true","180","180","or","repetition","congruent"
"679","f","true","180","180","mov","switch","congruent"
"760","j","true","0","180","mov","repetition","incongruent"
"796","j","true","0","0","or","switch","congruent"
"546","f","true","180","180","mov","switch","congruent"
"479","j","true","0","0","mov","repetition","congruent"
"696","f","true","180","180","or","switch","congruent"
"485","f","true","180","0","mov","switch","incongruent"
"574","j","true","0","0","mov","repetition","congruent"
"698","f","true","0","180","or","switch","incongruent"
"885","j","true","180","0","or","repetition","incongruent"
"792","j","true","180","0","or","repetition","incongruent"
"1474","j","true","0","0","mov","switch","congruent"
"820","j","true","180","0","or","switch","incongruent"
"695","f","true","0","180","or","repetition","incongruent"
"991","j","true","180","0","or","repetition","incongruent"
"595","j","true","0","180","mov","switch","incongruent"
"704","j","true","0","0","mov","repetition","congruent"
"1165","f","true","180","0","mov","repetition","incongruent"
"876","j","true","180","0","or","switch","incongruent"
"565","j","true","0","180","mov","switch","incongruent"
"621","f","true","180","0","mov","repetition","incongruent"
"550","f","true","180","180","mov","repetition","congruent"
"932","j","false","180","180","or","switch","congruent"
"673","j","true","0","180","mov","switch","incongruent"
"910","f","true","180","0","mov","repetition","incongruent"
"812","j","true","180","0","or","switch","incongruent"
"1153","j","true","0","0","or","repetition","congruent"
"643","f","true","180","0","mov","switch","incongruent"
"1453","j","true","180","0","or","switch","incongruent"
"679","f","true","180","180","mov","switch","congruent"
"789","j","false","180","180","or","switch","congruent"
"612","j","true","0","180","mov","switch","incongruent"
"554","j","true","0","180","mov","repetition","incongruent"
"571","f","true","180","180","mov","repetition","congruent"
"828","f","true","180","0","mov","repetition","incongruent"
"614","j","true","0","0","mov","repetition","congruent"
"1091","f","true","180","180","or","switch","congruent"
"821","j","false","0","180","or","repetition","incongruent"
"1136","j","true","0","180","mov","switch","incongruent"
"938","f","true","180","180","or","switch","congruent"
"605","j","true","0","0","mov","switch","congruent"
"914","j","true","0","180","mov","repetition","incongruent"
